Table 3.2ESI. Chain-Type Quantity Indexes for Net Stock of Private Fixed Assets by Industry
Table 3.2ESI. Chain-Type Quantity Indexes for Net Stock of Private Fixed Assets by Industry
"Last Revised on: September 30, 2022"
Line,,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
38,"  Water transportation",56.750,58.444,57.179,55.808,56.580,56.683,56.631,55.011,54.655,55.841,57.568,58.378,58.855,58.989,58.546,58.400,57.812,57.688,58.196,58.792,59.032,60.753,62.724,64.143,65.354,67.909,73.062,76.090,81.264,85.687,90.423,94.217,99.945,105.541,109.333,108.501,105.850,104.643,103.507,102.303,99.664,97.984,95.439,93.286,90.781,87.225,87.388,88.828,89.025,90.803,95.918,98.771,99.565,97.705,94.637,93.088,91.831,91.888,90.981,91.888,92.361,93.537,95.725,97.185,97.461,100.000,103.929,110.402,118.046,122.284,124.558,128.624,128.822,128.988,130.213
39,"  Truck transportation",10.300,11.672,12.515,14.123,14.876,14.758,14.688,14.473,15.395,16.214,16.724,16.824,17.486,18.074,18.816,19.978,20.235,21.282,21.747,22.835,22.613,23.659,25.470,26.486,28.004,30.474,34.842,36.988,35.765,36.876,39.433,43.398,46.274,44.839,43.738,42.778,43.389,46.730,48.189,48.637,50.612,52.208,52.636,50.789,48.737,46.056,46.669,51.942,57.832,59.972,65.036,68.571,71.739,74.772,75.431,76.146,76.854,81.453,93.165,103.792,101.850,99.997,94.880,93.308,96.335,100.000,102.906,110.109,116.245,119.744,122.168,129.944,136.163,133.291,132.751
40,"  Transit and ground passenger transportation",134.053,134.029,132.035,129.564,127.678,124.789,122.496,120.384,118.840,116.410,114.422,109.717,107.199,105.892,104.190,102.903,103.529,102.129,100.993,99.933,98.720,97.655,96.237,95.062,93.917,92.720,91.934,90.444,88.767,87.532,86.739,85.902,84.756,83.286,82.308,81.456,81.347,81.547,81.963,82.609,83.769,86.029,87.352,88.329,88.927,89.179,90.678,92.971,94.644,97.629,98.584,101.705,107.771,111.641,112.782,109.223,108.691,107.669,107.048,107.192,108.585,106.421,104.374,103.742,101.043,100.000,102.217,99.463,99.400,99.111,99.873,102.051,100.960,99.473,98.453
41,"  Pipeline transportation",32.348,32.969,33.446,34.176,34.662,35.510,36.616,37.081,37.057,37.004,36.946,36.807,36.577,36.317,35.970,36.076,36.465,36.472,36.375,36.396,37.053,37.871,38.144,38.435,39.094,39.204,39.375,40.644,44.157,49.307,50.643,50.931,51.770,53.390,54.661,54.882,54.875,54.422,54.005,53.585,53.243,53.064,52.750,52.559,52.921,53.734,55.058,56.088,57.237,58.965,60.619,62.325,64.384,66.703,68.651,70.834,72.044,73.345,74.501,77.248,82.703,89.553,92.120,94.471,94.997,100.000,107.076,117.832,124.480,131.831,137.941,142.561,149.886,151.560,152.517
42,"  Other transportation and support activities 2",73.011,74.505,75.749,76.557,79.725,80.590,80.859,80.259,81.065,81.929,82.177,81.549,81.740,82.700,82.454,83.136,84.178,85.884,89.201,94.698,98.511,100.782,104.885,106.706,108.260,109.590,110.986,112.168,113.114,113.613,114.338,114.742,116.637,117.276,117.011,115.699,113.921,114.093,113.908,113.535,113.158,113.117,112.224,111.115,109.363,106.653,105.689,106.569,107.661,106.882,107.380,108.954,110.294,112.842,114.357,112.766,110.647,109.179,107.685,109.359,107.887,105.720,102.782,100.338,100.551,100.000,97.388,98.224,101.768,101.708,103.637,107.955,114.212,116.523,119.188
43,"  Warehousing and storage",31.765,32.282,33.565,34.895,36.527,36.158,36.451,36.983,37.573,39.490,40.918,42.272,43.850,45.486,46.894,49.269,50.399,51.286,51.858,52.972,53.565,55.025,56.683,57.642,58.552,59.377,60.757,61.235,60.642,60.431,60.640,60.917,60.778,59.502,58.358,57.319,56.730,57.020,56.801,56.537,57.030,57.613,58.033,58.296,57.998,57.520,58.061,60.675,63.499,64.627,68.025,69.427,71.298,74.244,76.340,79.580,82.274,84.103,84.154,88.768,92.189,97.342,99.585,101.130,100.428,100.000,101.875,108.546,111.057,115.360,121.164,128.875,138.270,148.801,159.125
44,Information,4.046,4.388,4.656,4.898,5.064,5.300,5.592,5.851,6.180,6.598,6.989,7.266,7.603,8.025,8.503,8.991,9.538,10.008,10.645,11.342,11.988,12.668,13.403,14.123,14.788,15.463,16.285,17.014,17.521,18.234,19.350,20.596,21.990,23.266,24.677,25.991,27.221,28.615,30.026,31.637,33.130,34.875,36.514,38.124,39.583,41.300,43.007,44.780,46.754,48.982,51.410,54.568,58.860,64.577,68.678,70.918,73.231,75.496,78.110,81.466,85.275,88.541,90.745,94.143,97.333,100.000,103.644,107.859,112.164,117.415,123.174,129.311,134.225,139.159,144.488
45,"  Publishing industries (includes software)",4.337,4.627,4.875,5.110,5.282,5.375,5.501,5.683,5.908,6.196,6.494,6.817,7.127,7.509,7.901,8.328,8.826,9.336,9.929,10.778,11.711,12.509,13.318,14.038,14.652,15.328,15.997,16.481,16.738,16.994,17.595,18.376,19.153,19.971,20.787,21.533,22.398,23.675,25.158,26.461,28.186,30.852,32.879,34.711,36.149,37.356,38.282,38.950,39.522,40.522,42.124,44.688,48.513,52.031,55.197,60.782,67.448,71.477,74.357,78.330,82.479,87.053,90.678,94.004,98.503,100.000,103.902,109.234,111.276,113.598,116.509,118.508,119.483,119.098,120.491
46,"  Motion picture and sound recording industries",15.501,15.861,16.445,16.872,16.832,16.925,17.236,17.473,18.007,18.206,18.518,18.846,19.380,19.458,20.250,20.656,21.249,21.539,22.169,22.776,23.364,24.234,24.603,24.320,24.043,24.035,23.839,23.552,23.135,23.757,24.582,25.164,26.438,27.019,28.412,29.605,31.073,33.249,35.048,37.382,39.451,41.427,43.690,45.615,47.613,49.486,51.872,54.517,57.808,61.345,64.559,68.188,71.210,74.733,77.362,80.128,83.623,87.083,91.184,94.683,97.596,98.582,98.426,100.069,100.276,100.000,99.843,101.065,102.869,104.505,106.122,107.651,109.566,111.160,112.492
47,"  Broadcasting and telecommunications",2.949,3.313,3.562,3.795,3.990,4.265,4.584,4.865,5.197,5.673,6.102,6.384,6.721,7.216,7.697,8.239,8.823,9.353,10.048,10.799,11.470,12.163,13.007,13.947,14.828,15.664,16.729,17.708,18.431,19.279,20.593,22.104,23.719,25.270,26.895,28.415,29.755,31.141,32.573,34.216,35.674,37.265,38.846,40.478,41.946,43.848,45.668,47.596,49.693,52.035,54.565,57.622,62.002,68.346,72.737,73.904,74.888,76.417,78.643,81.678,85.450,89.068,91.446,94.286,97.095,100.000,102.982,105.808,109.119,112.797,116.784,120.429,123.304,125.105,127.421
48,"  Information and data processing services",0.173,0.179,0.183,0.203,0.216,0.234,0.262,0.286,0.315,0.345,0.373,0.385,0.401,0.426,0.450,0.473,0.541,0.567,0.631,0.732,0.899,1.051,1.222,1.350,1.463,1.660,1.844,1.901,1.898,1.963,2.160,2.358,2.498,2.606,2.685,2.859,3.142,3.585,4.080,4.676,5.239,5.736,6.317,6.830,7.289,7.665,8.252,8.683,9.296,9.989,11.347,15.634,22.183,29.754,35.508,41.168,45.885,49.481,52.342,57.528,62.918,64.654,67.071,80.241,90.978,100.000,118.154,140.619,166.008,202.481,242.605,294.774,337.257,395.405,450.885
49,Finance and insurance,1.514,1.555,1.603,1.672,1.747,1.798,1.889,1.968,2.136,2.250,2.373,2.459,2.600,2.748,2.866,3.045,3.182,3.491,3.863,4.219,4.623,5.258,5.830,6.323,6.887,7.381,8.206,9.210,10.131,11.075,12.023,13.404,15.082,16.919,18.862,20.727,22.893,25.727,29.049,32.596,35.913,39.434,43.247,46.301,48.278,49.964,52.326,55.103,57.459,60.625,64.088,69.263,74.805,79.607,82.995,85.450,87.563,90.628,93.367,96.454,99.982,100.930,99.360,98.737,98.802,100.000,101.620,103.894,107.277,110.749,112.883,115.828,120.062,122.075,124.352
50,"  Federal Reserve banks",2.527,2.537,2.567,2.894,3.137,3.385,3.735,3.927,4.196,4.716,5.558,5.876,6.136,6.512,6.706,6.803,6.812,6.837,6.963,7.133,7.408,7.636,7.985,8.385,9.552,10.243,11.166,12.139,13.407,14.609,15.621,16.410,16.899,17.797,19.153,20.487,21.223,21.760,23.022,24.273,25.566,26.520,27.641,28.695,29.879,31.495,37.232,43.672,56.146,68.411,81.850,94.413,113.378,120.069,119.865,114.807,111.453,110.899,107.672,107.587,108.937,107.177,106.335,104.221,101.311,100.000,97.303,95.698,94.151,93.102,92.418,91.007,90.046,90.234,90.557
51,"  Credit intermediation and related activities",2.075,2.113,2.158,2.216,2.312,2.382,2.506,2.606,2.816,2.925,3.067,3.185,3.346,3.521,3.641,3.862,4.018,4.371,4.774,5.179,5.636,6.443,7.118,7.622,8.217,8.719,9.651,10.877,11.960,13.101,14.225,15.875,17.648,19.626,21.634,23.405,25.430,28.096,31.060,34.199,36.897,39.945,43.253,45.754,47.047,48.463,50.301,52.713,54.495,58.236,62.068,67.509,73.293,77.933,81.224,84.207,86.370,89.879,93.639,97.789,101.550,102.257,98.674,97.867,98.079,100.000,102.241,105.605,109.876,113.910,115.875,118.919,123.207,122.963,123.315
52,"  Securities, commodity contracts, and investments",0.193,0.199,0.211,0.229,0.229,0.224,0.231,0.233,0.248,0.248,0.250,0.240,0.239,0.251,0.266,0.290,0.324,0.380,0.463,0.534,0.618,0.761,0.936,1.147,1.396,1.667,1.982,2.272,2.504,2.751,3.052,3.475,4.438,5.669,7.150,9.001,11.632,15.190,19.425,24.568,30.283,35.754,40.921,44.040,46.243,44.383,47.597,48.911,50.150,51.822,54.109,58.704,63.913,70.457,74.312,76.301,77.409,79.532,80.981,83.933,89.910,93.016,98.366,100.118,100.935,100.000,100.205,101.011,103.225,107.359,112.547,118.569,126.417,135.745,143.881
53,"  Insurance carriers and related activities",0.866,0.948,1.035,1.164,1.249,1.299,1.362,1.447,1.614,1.838,2.004,2.100,2.318,2.503,2.689,2.867,3.011,3.393,3.886,4.305,4.796,5.287,5.791,6.367,6.926,7.346,8.070,8.924,9.943,10.886,11.786,13.139,15.168,17.084,19.245,21.426,23.660,26.496,30.420,34.199,37.828,41.612,46.339,51.402,55.640,60.775,64.126,69.058,73.626,75.447,77.972,82.371,86.928,91.044,94.439,95.874,98.702,100.302,100.312,100.155,100.817,101.133,101.123,99.705,99.225,100.000,101.532,102.342,104.867,107.255,108.748,110.607,113.739,118.774,124.037
54,"  Funds, trusts, and other financial vehicles",1.802,1.842,1.839,1.915,1.975,1.999,2.065,2.167,2.485,2.746,2.881,2.965,3.199,3.399,3.659,3.931,4.210,4.534,5.120,5.671,6.212,6.809,7.605,8.344,9.324,10.991,12.666,13.479,13.667,13.733,14.394,15.083,15.637,16.121,16.602,17.444,18.478,20.032,21.783,23.982,26.457,29.017,31.703,34.238,36.346,38.877,41.749,44.284,47.422,50.326,54.194,58.976,63.443,67.903,72.226,74.254,76.412,85.163,91.929,96.006,103.382,104.798,103.835,102.574,101.002,100.000,97.038,94.385,92.132,90.452,88.832,86.199,84.105,82.332,80.652
55,Real estate and rental and leasing,15.358,16.045,16.649,17.572,18.290,18.962,19.674,20.454,21.412,22.236,22.966,23.674,24.669,25.535,26.395,27.353,28.448,29.623,30.771,31.780,32.724,33.825,34.986,36.018,37.433,39.130,40.802,41.888,42.680,43.817,45.354,47.003,48.601,49.619,50.490,51.087,52.285,53.870,55.557,57.468,59.371,61.207,62.832,64.218,65.220,66.312,67.763,69.384,71.016,72.919,74.951,77.141,79.618,81.975,84.059,86.301,88.785,91.605,94.336,97.112,98.935,99.666,99.633,99.636,99.686,100.000,100.723,101.574,102.780,104.147,105.292,106.558,107.899,109.285,110.948
56,"  Real estate",15.868,16.575,17.197,18.144,18.880,19.566,20.293,21.094,22.073,22.917,23.665,24.397,25.422,26.312,27.197,28.180,29.301,30.509,31.678,32.694,33.637,34.734,35.890,36.925,38.361,40.074,41.759,42.863,43.685,44.846,46.401,48.071,49.710,50.767,51.681,52.308,53.539,55.150,56.861,58.799,60.720,62.574,64.220,65.643,66.670,67.762,69.178,70.725,72.258,74.039,75.870,77.972,80.202,82.365,84.382,86.659,89.139,91.947,94.607,97.253,99.027,99.780,99.857,99.849,99.827,100.000,100.642,101.390,102.456,103.747,104.829,106.000,107.243,108.768,110.534
57,"  Rental and leasing services and lessors of intangible assets 3",0.721,0.807,0.873,1.029,1.170,1.340,1.522,1.667,1.901,2.081,2.215,2.241,2.350,2.486,2.585,2.727,2.964,3.127,3.459,3.966,4.562,5.350,6.189,6.799,7.340,8.191,9.094,9.466,9.419,9.713,10.441,11.177,11.466,11.341,11.037,10.846,10.988,11.589,12.327,13.148,14.240,15.243,16.023,16.219,16.416,17.291,19.467,22.842,27.033,32.196,40.057,44.879,55.594,64.752,69.266,70.053,72.728,75.999,81.985,90.991,95.139,94.854,89.918,90.409,93.552,100.000,104.357,109.994,117.872,122.943,127.320,133.538,140.077,133.771,129.347
58,"Professional, scientific, and technical services",1.249,1.338,1.437,1.585,1.699,1.787,1.922,2.036,2.209,2.324,2.474,2.594,2.705,2.842,2.980,3.166,3.374,3.573,3.831,4.116,4.424,4.694,5.049,5.399,5.794,6.265,6.807,7.299,7.560,7.967,8.522,9.240,10.019,10.783,11.509,12.539,13.640,14.973,16.382,18.052,19.765,21.530,23.331,24.913,26.442,28.110,29.684,31.019,32.797,34.903,38.642,43.012,49.469,55.821,60.301,64.493,68.900,72.551,77.448,81.550,85.662,90.015,93.101,95.785,97.459,100.000,102.322,103.287,106.315,109.710,114.153,120.065,127.802,134.026,141.124
59,"  Legal services",3.974,4.294,4.571,4.797,5.022,5.183,5.472,5.784,6.081,6.259,6.593,6.688,7.100,7.418,7.602,8.255,8.246,8.739,9.179,9.915,10.103,10.336,10.692,11.088,11.463,11.991,12.943,13.739,13.911,14.251,14.488,15.386,16.981,19.193,21.576,23.412,25.497,27.855,30.271,32.715,34.504,35.809,36.978,39.061,40.044,41.102,41.864,41.987,42.664,43.771,46.345,50.563,55.662,60.585,65.416,71.680,76.976,82.520,88.107,91.382,95.156,99.973,101.822,100.676,99.128,100.000,101.529,100.385,100.951,101.117,103.521,103.420,104.335,105.854,107.569
60,"  Computer systems design and related services",0.378,0.385,0.398,0.421,0.427,0.427,0.445,0.463,0.497,0.503,0.535,0.554,0.568,0.597,0.621,0.657,0.726,0.755,0.806,0.865,0.962,1.016,1.148,1.271,1.443,1.665,1.872,1.974,2.030,2.138,2.381,2.689,2.972,3.270,3.602,4.164,4.935,5.979,7.074,8.341,9.817,11.281,12.496,13.341,13.963,14.196,15.284,16.240,18.101,20.675,25.536,31.659,41.612,50.050,55.061,60.334,64.694,71.601,76.319,83.290,87.913,92.337,99.117,100.782,101.135,100.000,100.169,97.739,99.216,102.028,99.938,105.209,113.862,120.281,126.788
61,"  Miscellaneous professional, scientific, and technical services 4",1.273,1.369,1.482,1.663,1.803,1.916,2.076,2.205,2.409,2.554,2.725,2.877,2.996,3.149,3.318,3.513,3.773,4.001,4.305,4.622,4.995,5.332,5.744,6.151,6.602,7.127,7.722,8.308,8.638,9.140,9.804,10.613,11.459,12.221,12.900,13.969,15.038,16.312,17.674,19.342,21.063,22.907,24.907,26.637,28.468,30.603,32.371,33.910,35.738,37.775,41.270,45.150,50.790,56.727,61.036,64.778,69.114,71.859,76.733,80.291,84.328,88.624,91.062,94.315,96.559,100.000,102.829,104.672,108.240,112.053,117.987,124.587,132.784,139.410,147.133
62,Management of companies and enterprises 5,11.112,11.451,11.729,12.006,12.324,12.512,12.946,13.434,14.077,14.993,15.642,16.178,16.711,17.508,18.395,19.309,20.263,21.316,22.546,23.809,24.929,26.128,27.496,28.873,30.564,32.480,34.545,36.806,38.571,40.199,41.815,43.955,46.713,50.081,54.056,58.205,61.801,66.249,70.853,74.823,78.437,81.913,85.299,87.921,89.496,91.259,92.227,92.917,93.950,95.445,96.983,98.917,100.488,101.002,100.801,101.453,101.223,99.969,98.598,97.061,97.133,98.300,98.899,98.552,99.042,100.000,99.773,99.107,98.258,98.426,98.943,99.074,99.247,98.730,98.636
63,Administrative and waste management services,5.804,5.878,5.987,6.199,6.312,6.406,6.562,6.727,6.973,7.157,7.363,7.537,7.689,7.881,8.033,8.247,8.581,8.803,9.139,9.593,10.018,10.388,11.020,11.540,12.182,12.973,13.871,14.567,14.880,15.437,16.258,17.320,18.678,19.727,20.594,21.568,22.834,25.281,28.437,31.895,35.960,38.785,41.482,43.499,45.188,47.176,49.201,50.756,52.793,54.349,56.486,60.202,65.115,69.913,73.297,75.765,79.299,82.467,84.701,88.313,90.596,91.023,93.285,95.261,97.769,100.000,103.379,106.849,110.429,115.423,117.915,121.635,126.915,130.425,134.307
64,"  Administrative and support services",1.217,1.237,1.264,1.329,1.360,1.384,1.437,1.498,1.603,1.654,1.763,1.861,1.900,1.994,2.070,2.156,2.391,2.479,2.646,2.844,3.141,3.301,3.646,3.975,4.390,4.927,5.450,5.841,6.002,6.306,6.717,7.266,7.816,8.377,8.923,9.635,10.605,12.013,13.571,15.333,17.022,18.673,20.355,21.755,22.976,24.325,26.202,27.924,30.412,32.827,36.245,41.336,48.001,54.301,58.920,62.618,67.583,72.062,75.489,79.934,83.222,84.804,88.951,92.326,95.909,100.000,105.492,111.047,116.729,124.332,127.780,133.153,140.433,146.151,152.242
65,"  Waste management and remediation services",18.751,18.973,19.308,19.903,20.239,20.523,20.942,21.364,21.933,22.473,22.875,23.193,23.653,24.054,24.367,24.892,25.302,25.847,26.539,27.585,28.119,28.986,30.186,31.011,32.016,33.180,34.816,36.155,36.812,37.929,39.700,41.932,45.285,47.438,48.970,50.405,52.131,56.891,63.816,71.240,81.108,86.580,91.485,94.757,97.374,100.717,102.738,103.535,104.007,103.056,101.570,101.332,101.391,102.135,102.351,101.817,101.953,102.171,101.871,103.755,104.072,102.316,101.040,100.439,101.025,100.000,99.726,99.639,99.678,100.319,101.229,102.249,104.290,104.280,104.703
66,Educational services,9.087,9.536,10.024,10.593,11.146,11.668,12.350,13.236,13.977,14.810,15.532,16.370,17.114,17.926,18.813,19.812,20.780,21.850,22.984,24.374,25.766,27.141,28.296,29.122,29.934,30.816,31.557,31.984,32.171,32.434,32.727,33.033,33.376,33.888,34.364,34.836,35.413,36.032,36.755,37.687,39.203,40.300,41.543,42.876,44.238,45.719,47.121,48.621,50.352,52.572,55.651,59.029,62.073,65.676,69.332,73.281,76.734,80.151,82.656,85.519,88.481,91.689,94.348,96.344,98.153,100.000,101.382,102.813,105.035,107.032,109.312,111.379,112.884,114.266,115.336
67,Health and social assistance,3.205,3.356,3.532,3.887,4.230,4.518,4.781,5.069,5.437,5.818,6.285,6.792,7.306,7.804,8.415,9.213,10.018,11.025,12.151,13.194,14.155,15.177,16.577,18.016,19.424,20.866,22.308,23.614,24.650,25.781,26.872,27.931,28.907,29.837,30.938,32.509,34.274,36.092,37.670,39.210,40.874,42.783,44.742,46.779,48.809,51.109,53.134,54.701,55.953,57.214,59.079,61.194,63.145,65.057,66.983,69.934,72.783,75.523,78.421,81.622,85.448,88.989,91.923,94.618,97.367,100.000,103.015,105.363,107.960,110.538,113.242,116.166,119.232,121.809,124.324
68,"  Ambulatory health care services",2.163,2.344,2.492,2.852,3.164,3.399,3.662,3.954,4.486,5.096,5.728,6.374,7.053,7.620,8.236,9.087,9.961,11.079,12.399,13.535,14.595,15.720,17.293,18.669,19.721,20.628,21.669,22.558,23.134,23.801,24.567,25.504,26.435,27.472,28.971,31.144,33.617,36.300,38.714,41.098,43.573,46.314,49.046,51.741,54.508,58.562,62.107,64.358,65.942,67.358,68.898,70.568,71.821,72.647,73.510,76.399,78.617,80.846,83.827,85.811,89.434,92.120,93.462,96.245,97.906,100.000,103.054,105.507,108.476,111.275,115.277,119.242,122.877,126.919,131.141
69,"  Hospitals",3.627,3.768,3.966,4.344,4.735,5.082,5.364,5.662,5.965,6.251,6.656,7.108,7.552,8.020,8.641,9.436,10.235,11.242,12.321,13.370,14.337,15.366,16.759,18.320,20.002,21.741,23.398,24.945,26.293,27.741,29.045,30.224,31.269,32.206,33.209,34.613,36.167,37.683,38.932,40.122,41.466,43.066,44.749,46.586,48.367,49.990,51.464,52.806,53.923,55.122,57.099,59.249,61.287,63.411,65.479,68.025,70.857,73.601,76.363,79.866,83.655,87.543,91.085,93.838,97.032,100.000,102.931,105.088,107.516,110.011,112.280,114.940,117.411,119.281,121.098
70,"  Nursing and residential care facilities",1.665,1.741,1.812,1.974,2.100,2.205,2.343,2.530,2.812,3.128,3.499,3.907,4.292,4.654,5.100,5.693,6.285,6.998,7.875,8.649,9.325,10.100,11.191,12.208,12.994,13.930,14.969,15.698,16.052,16.453,17.039,17.543,18.126,18.679,19.305,20.345,21.560,22.924,24.232,25.552,26.873,28.411,30.002,31.646,33.350,35.064,36.685,38.097,39.406,40.707,42.540,45.401,48.598,51.955,55.592,61.946,66.792,71.139,75.068,78.697,82.994,87.584,90.941,94.074,97.842,100.000,102.994,106.938,109.833,112.910,116.454,119.212,122.612,127.024,130.753
71,"  Social assistance",7.187,7.369,7.583,7.880,8.035,8.114,8.283,8.556,8.917,9.266,9.677,10.196,10.797,11.506,12.238,13.053,13.820,14.526,15.382,16.128,16.776,17.360,18.179,18.934,19.765,21.413,23.185,24.791,25.451,26.228,27.261,28.272,29.178,29.880,30.422,31.170,32.056,33.206,34.468,35.934,37.490,39.011,40.494,41.757,43.092,44.579,45.201,45.819,46.865,48.050,50.597,54.290,57.897,61.754,66.107,70.973,75.380,79.027,82.017,87.397,92.344,94.074,96.702,97.356,98.439,100.000,104.036,106.239,108.728,110.545,111.034,112.248,120.004,121.937,123.334
72,"Arts, entertainment, and recreation",16.620,16.939,17.192,17.597,17.762,17.931,18.207,18.551,19.048,19.554,20.149,20.760,21.622,22.678,23.671,24.688,25.896,26.763,27.689,28.521,29.282,29.893,30.745,31.395,32.018,32.572,33.378,34.019,34.237,34.561,35.589,36.871,37.749,38.401,38.801,38.730,38.865,39.393,39.837,40.307,40.985,41.843,42.702,43.697,44.607,45.692,47.655,50.142,52.617,54.895,57.845,60.979,65.810,71.981,76.294,79.669,82.449,85.176,87.322,89.571,92.350,94.763,97.009,97.793,98.707,100.000,101.785,105.136,107.966,113.430,118.484,124.290,129.611,132.695,134.780
73,"  Performing arts, spectator sports, museums, and related activities",18.960,19.093,19.134,19.420,19.635,19.930,20.359,20.774,21.428,22.066,22.830,23.446,24.322,25.331,26.328,27.321,28.455,29.253,30.149,31.199,32.199,33.028,34.052,34.823,35.423,35.999,36.799,37.365,37.524,37.815,38.904,40.186,41.101,41.717,42.266,42.476,42.907,43.909,44.803,45.751,46.867,48.025,49.147,50.718,52.008,53.600,55.799,58.421,60.760,62.515,64.835,67.324,70.841,75.246,78.096,80.609,83.866,86.587,88.707,90.312,93.522,95.563,96.690,97.197,98.861,100.000,101.502,104.536,107.248,111.138,114.057,116.935,120.176,122.285,124.191
74,"  Amusements, gambling, and recreation industries",14.378,14.858,15.297,15.806,15.925,15.982,16.120,16.398,16.750,17.134,17.573,18.175,19.018,20.111,21.094,22.128,23.396,24.321,25.269,25.896,26.430,26.834,27.520,28.054,28.697,29.229,30.035,30.740,31.010,31.363,32.329,33.601,34.439,35.117,35.383,35.068,34.943,35.047,35.086,35.123,35.401,35.980,36.593,37.055,37.608,38.216,39.956,42.313,44.913,47.685,51.230,54.975,61.053,68.905,74.608,78.803,81.128,83.863,86.032,88.876,91.257,94.015,97.322,98.373,98.557,100.000,102.059,105.714,108.657,115.599,122.638,131.142,138.371,142.345,144.595
75,Accommodation and food services,14.162,14.970,15.439,16.040,16.361,16.497,17.001,17.481,18.200,18.852,19.386,19.994,20.867,21.868,22.906,23.923,25.234,27.176,29.267,31.310,32.850,34.287,35.708,36.908,37.986,39.444,41.193,42.274,42.554,42.846,43.277,44.140,45.821,47.404,48.987,50.127,51.753,54.017,56.117,58.050,59.641,61.260,63.146,65.289,66.463,66.925,67.933,68.978,70.640,73.500,75.802,78.260,80.742,82.861,84.706,85.913,87.293,87.883,89.029,91.331,94.506,99.014,100.720,99.844,99.545,100.000,101.259,102.354,104.355,106.226,108.484,110.693,112.999,113.240,112.471
76,"  Accommodation",12.273,12.343,12.437,12.510,12.582,12.620,12.821,13.136,13.446,13.948,14.464,15.128,16.095,17.271,18.671,19.922,21.646,24.346,26.912,29.212,31.074,32.719,34.307,35.602,36.713,38.155,39.844,40.691,40.616,40.426,40.387,40.703,42.034,43.716,45.562,46.894,48.474,50.603,52.357,53.640,54.385,55.259,56.776,59.192,60.274,60.145,60.699,60.898,61.872,64.669,66.937,69.200,72.105,74.139,76.433,78.488,79.892,80.958,82.277,86.085,90.193,97.569,100.819,100.442,99.949,100.000,100.790,102.130,105.256,108.432,111.180,114.414,117.529,118.023,116.989
77,"  Food services and drinking places",17.064,18.798,19.737,20.997,21.632,21.894,22.790,23.491,24.739,25.598,26.174,26.732,27.509,28.318,28.925,29.669,30.480,31.483,32.993,34.733,35.872,37.055,38.271,39.357,40.405,41.908,43.771,45.218,46.034,47.042,48.171,49.848,52.070,53.526,54.736,55.600,57.316,59.811,62.457,65.395,68.283,71.046,73.511,75.270,76.597,77.952,79.655,81.987,84.707,87.695,90.072,92.850,94.691,96.952,98.081,97.933,99.274,99.091,99.954,99.764,101.391,101.277,100.591,98.960,98.950,100.000,101.963,102.681,102.911,102.673,104.126,104.627,105.570,105.379,105.054
78,"Other services, except government",14.135,14.653,15.294,16.092,16.889,17.753,18.810,20.204,21.742,23.150,24.681,26.148,27.629,29.291,30.913,32.587,34.138,35.787,37.801,39.937,41.477,43.058,44.642,45.927,47.052,48.497,50.166,51.333,51.602,52.053,52.928,54.117,55.281,55.912,56.242,56.430,56.882,57.729,58.749,59.920,61.152,62.608,63.814,64.883,65.869,66.771,67.699,68.721,69.791,70.855,72.643,75.381,78.110,81.183,84.216,86.748,89.923,91.941,93.513,95.426,97.462,99.139,99.910,100.198,100.178,100.000,99.706,100.099,100.922,101.865,101.629,101.543,101.769,101.851,101.932

Legend/Footnotes
1. NAICS crop and animal production.
2.Consists of scenic and sightseeing transportation; transportation support activities; and couriers and messengers.
"3. Intangible assets include patents, trademarks, and franchise agreements, but not copyrights."
"4. Consists of accounting, tax preparation, bookkeeping, and payroll services; architectural, engineering, and related services; specialized design services; management, scientific, and technical consulting services; scientific research and development services; advertising and related services; and other professional scientific, and technical services."
5. Consists of bank and other holding companies.
Note. Estimates in this table are based on the North American Industry Classification System (NAICS).
