Table 3.2ESI. Chain-Type Quantity Indexes for Net Stock of Private Fixed Assets by Industry
Table 3.2ESI. Chain-Type Quantity Indexes for Net Stock of Private Fixed Assets by Industry
"Last Revised on: September 30, 2022"
Line,,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Construction,12.490,14.354,15.244,16.521,17.287,17.811,18.100,18.286,19.237,19.383,19.964,20.494,21.177,21.622,21.737,22.399,23.624,25.260,27.001,28.782,29.889,31.268,33.114,34.740,36.107,37.699,40.965,44.269,45.073,45.341,46.509,49.093,50.767,50.069,49.194,46.611,44.756,44.387,44.159,43.884,43.286,43.104,44.142,44.790,43.761,43.013,44.088,46.587,50.459,56.002,61.605,68.191,75.355,79.999,82.181,85.286,86.599,90.825,94.841,99.473,104.223,108.137,102.410,100.079,99.513,100.000,102.409,104.598,108.405,112.023,115.030,119.566,127.092,133.427,140.410
11,Manufacturing,13.759,14.511,14.771,15.070,15.775,16.559,17.337,18.024,18.698,19.856,20.943,21.372,21.726,22.412,23.007,23.737,24.556,25.714,27.443,29.754,31.766,33.657,35.595,37.228,38.424,39.775,41.409,43.584,45.061,46.474,48.059,50.030,52.020,54.028,56.156,57.352,57.987,59.530,61.368,62.427,63.190,64.472,65.864,67.300,68.500,69.648,70.543,72.008,74.299,77.221,80.067,82.887,85.175,87.621,89.590,90.084,90.125,90.345,91.183,92.461,94.795,96.975,97.117,97.374,98.480,100.000,101.868,103.556,105.181,106.622,107.676,109.065,110.459,111.309,113.004
12,"  Durable goods",12.010,12.723,12.900,13.228,14.112,15.173,16.148,16.951,17.849,19.404,20.778,21.281,21.718,22.534,23.118,23.839,24.697,25.959,27.822,30.405,32.784,34.935,37.125,38.778,39.877,41.245,43.122,45.447,46.721,47.940,49.486,51.706,54.017,56.427,59.043,60.188,60.729,62.571,64.851,66.222,67.122,67.760,68.790,69.718,70.286,70.935,71.449,73.059,75.840,79.659,83.594,87.231,89.974,93.111,95.577,95.254,94.475,93.941,94.289,95.098,96.696,98.590,97.712,97.352,98.574,100.000,101.684,103.015,104.002,104.642,105.406,106.431,106.727,106.588,107.361
13,"    Wood products",30.138,33.136,33.898,35.720,38.004,39.103,39.979,41.550,44.529,46.993,47.200,47.997,49.373,51.197,51.377,52.503,54.097,56.428,60.839,64.812,66.736,69.236,72.454,74.362,77.855,82.695,87.280,94.216,97.183,98.893,102.907,107.741,113.236,116.115,116.318,113.542,110.305,109.931,109.404,108.312,107.582,106.276,105.969,105.191,103.434,101.671,101.132,103.486,107.335,111.103,111.877,112.679,113.769,114.303,113.601,112.091,110.062,110.258,111.406,114.076,114.299,112.277,107.697,104.289,101.406,100.000,101.665,104.448,106.464,108.419,109.540,111.700,112.067,112.042,113.411
14,"    Nonmetallic mineral products",30.020,30.840,30.964,31.363,32.438,32.851,33.283,33.951,36.319,40.422,43.431,44.207,45.453,46.786,48.098,49.408,50.071,51.901,54.660,58.481,58.994,60.156,61.992,63.199,63.956,65.833,68.616,71.587,73.482,74.598,76.239,79.725,82.281,85.568,87.005,86.057,84.613,85.477,87.728,88.560,89.056,89.169,89.963,90.273,89.796,89.008,87.799,87.291,87.653,88.895,90.918,93.079,95.137,97.723,99.337,100.446,100.817,100.979,101.955,104.235,107.686,107.756,105.195,102.757,101.205,100.000,99.128,99.303,99.864,101.119,102.183,101.518,100.909,101.039,101.814
15,"    Primary metals",40.124,42.627,43.234,43.644,47.298,52.171,54.691,55.780,57.132,61.180,66.562,68.316,68.518,70.942,71.777,72.305,73.880,76.954,81.265,87.113,92.479,97.990,102.087,105.466,106.962,108.192,109.498,113.682,117.052,119.289,121.053,122.508,123.645,124.567,126.170,124.793,123.268,121.748,120.982,118.058,115.793,114.484,113.719,113.229,112.591,111.344,109.401,109.073,108.687,108.572,107.900,107.317,106.047,104.875,103.377,101.569,99.100,97.328,96.123,95.442,96.408,98.617,99.010,98.824,99.300,100.000,100.303,99.630,98.502,97.939,98.767,100.303,101.611,101.356,101.360
16,"    Fabricated metal products",13.465,13.993,14.353,15.100,16.090,17.077,18.423,19.794,21.163,22.727,23.988,24.414,24.872,25.501,25.809,26.625,27.622,29.193,31.055,33.661,36.690,39.052,41.820,43.602,44.770,46.362,49.144,52.150,54.442,56.472,58.714,61.703,64.378,67.121,70.225,71.362,71.331,72.685,74.431,75.549,76.218,76.509,77.299,78.091,78.225,78.587,78.837,80.035,82.412,84.430,86.480,88.689,90.387,92.155,92.957,93.295,92.769,92.655,92.712,93.528,95.724,97.617,96.670,96.038,97.365,100.000,102.155,103.687,104.508,105.795,106.953,108.067,108.914,109.507,110.352
17,"    Machinery",8.512,9.169,9.426,9.760,10.417,11.224,12.251,13.105,13.780,14.740,15.630,15.825,16.084,16.524,16.869,17.378,17.981,18.801,20.017,21.874,23.998,25.616,27.247,28.745,29.963,31.432,33.435,36.088,38.142,39.857,41.933,45.031,48.221,51.495,55.218,57.828,59.225,61.693,64.202,65.056,65.474,65.817,66.958,68.206,69.038,69.929,70.102,71.679,74.355,78.554,84.978,90.179,93.860,96.594,97.467,95.717,93.849,92.627,92.077,92.472,93.264,94.686,94.931,95.372,98.195,100.000,101.990,102.888,103.045,102.978,103.926,104.498,105.306,105.805,106.683
18,"    Computer and electronic products",3.059,3.269,3.328,3.421,3.646,3.861,4.149,4.336,4.601,4.998,5.533,5.869,6.221,6.717,7.252,7.797,8.309,8.958,9.938,11.329,12.721,13.967,15.258,16.370,17.180,18.051,19.445,20.951,21.621,22.350,23.265,24.654,26.353,28.382,30.429,32.112,33.548,35.995,38.434,39.976,41.317,42.863,44.327,45.726,46.825,48.125,49.411,52.007,56.363,62.854,69.091,74.835,79.224,86.283,93.364,92.282,90.719,89.374,89.768,90.341,92.329,96.727,95.837,96.102,98.612,100.000,101.423,102.499,103.136,102.919,102.124,101.944,101.470,101.524,103.038
19,"    Electrical equipment, appliances, and components",13.065,13.781,13.832,14.077,14.784,15.848,17.503,19.185,20.915,24.204,25.665,26.427,27.255,28.990,30.172,31.432,32.930,34.731,37.275,40.920,44.407,47.708,51.539,54.251,56.524,59.550,63.231,67.036,68.339,69.786,71.113,73.393,76.292,79.737,83.241,85.458,87.591,91.287,94.380,96.283,95.481,95.685,96.688,97.892,98.278,98.782,98.452,99.447,102.137,105.552,106.000,106.018,105.631,107.331,108.198,107.007,105.241,103.590,101.546,101.106,101.212,101.167,100.178,99.232,99.199,100.000,100.876,101.832,103.022,102.966,102.997,104.398,105.969,105.299,105.223
