"","date","series_id","value","realtime_start","realtime_end"
"125",2016-07-01,"CES0500000003",25.69,2024-12-13,2024-12-13
"126",2016-08-01,"CES0500000003",25.72,2024-12-13,2024-12-13
"127",2016-09-01,"CES0500000003",25.77,2024-12-13,2024-12-13
"128",2016-10-01,"CES0500000003",25.89,2024-12-13,2024-12-13
"129",2016-11-01,"CES0500000003",25.9,2024-12-13,2024-12-13
"130",2016-12-01,"CES0500000003",25.92,2024-12-13,2024-12-13
"131",2017-01-01,"CES0500000003",26,2024-12-13,2024-12-13
"132",2017-02-01,"CES0500000003",26.07,2024-12-13,2024-12-13
"133",2017-03-01,"CES0500000003",26.11,2024-12-13,2024-12-13
"134",2017-04-01,"CES0500000003",26.17,2024-12-13,2024-12-13
"135",2017-05-01,"CES0500000003",26.21,2024-12-13,2024-12-13
"136",2017-06-01,"CES0500000003",26.26,2024-12-13,2024-12-13
"137",2017-07-01,"CES0500000003",26.36,2024-12-13,2024-12-13
"138",2017-08-01,"CES0500000003",26.38,2024-12-13,2024-12-13
"139",2017-09-01,"CES0500000003",26.49,2024-12-13,2024-12-13
"140",2017-10-01,"CES0500000003",26.49,2024-12-13,2024-12-13
"141",2017-11-01,"CES0500000003",26.53,2024-12-13,2024-12-13
"142",2017-12-01,"CES0500000003",26.61,2024-12-13,2024-12-13
"143",2018-01-01,"CES0500000003",26.73,2024-12-13,2024-12-13
"144",2018-02-01,"CES0500000003",26.75,2024-12-13,2024-12-13
"145",2018-03-01,"CES0500000003",26.86,2024-12-13,2024-12-13
"146",2018-04-01,"CES0500000003",26.91,2024-12-13,2024-12-13
"147",2018-05-01,"CES0500000003",26.98,2024-12-13,2024-12-13
"148",2018-06-01,"CES0500000003",27.04,2024-12-13,2024-12-13
"149",2018-07-01,"CES0500000003",27.09,2024-12-13,2024-12-13
"150",2018-08-01,"CES0500000003",27.2,2024-12-13,2024-12-13
"151",2018-09-01,"CES0500000003",27.32,2024-12-13,2024-12-13
"152",2018-10-01,"CES0500000003",27.37,2024-12-13,2024-12-13
"153",2018-11-01,"CES0500000003",27.44,2024-12-13,2024-12-13
"154",2018-12-01,"CES0500000003",27.55,2024-12-13,2024-12-13
"155",2019-01-01,"CES0500000003",27.59,2024-12-13,2024-12-13
"156",2019-02-01,"CES0500000003",27.71,2024-12-13,2024-12-13
"157",2019-03-01,"CES0500000003",27.8,2024-12-13,2024-12-13
"158",2019-04-01,"CES0500000003",27.78,2024-12-13,2024-12-13
"159",2019-05-01,"CES0500000003",27.86,2024-12-13,2024-12-13
"160",2019-06-01,"CES0500000003",27.95,2024-12-13,2024-12-13
"161",2019-07-01,"CES0500000003",28.02,2024-12-13,2024-12-13
"162",2019-08-01,"CES0500000003",28.13,2024-12-13,2024-12-13
"163",2019-09-01,"CES0500000003",28.17,2024-12-13,2024-12-13
"164",2019-10-01,"CES0500000003",28.23,2024-12-13,2024-12-13
"165",2019-11-01,"CES0500000003",28.35,2024-12-13,2024-12-13
"166",2019-12-01,"CES0500000003",28.37,2024-12-13,2024-12-13
"167",2020-01-01,"CES0500000003",28.44,2024-12-13,2024-12-13
"168",2020-02-01,"CES0500000003",28.55,2024-12-13,2024-12-13
"169",2020-03-01,"CES0500000003",28.77,2024-12-13,2024-12-13
"170",2020-04-01,"CES0500000003",30.01,2024-12-13,2024-12-13
"171",2020-05-01,"CES0500000003",29.72,2024-12-13,2024-12-13
"172",2020-06-01,"CES0500000003",29.38,2024-12-13,2024-12-13
"173",2020-07-01,"CES0500000003",29.38,2024-12-13,2024-12-13
"174",2020-08-01,"CES0500000003",29.48,2024-12-13,2024-12-13
"175",2020-09-01,"CES0500000003",29.51,2024-12-13,2024-12-13
"176",2020-10-01,"CES0500000003",29.54,2024-12-13,2024-12-13
"177",2020-11-01,"CES0500000003",29.63,2024-12-13,2024-12-13
"178",2020-12-01,"CES0500000003",29.9,2024-12-13,2024-12-13
"179",2021-01-01,"CES0500000003",29.93,2024-12-13,2024-12-13
"180",2021-02-01,"CES0500000003",30.06,2024-12-13,2024-12-13
"181",2021-03-01,"CES0500000003",30.06,2024-12-13,2024-12-13
"182",2021-04-01,"CES0500000003",30.21,2024-12-13,2024-12-13
"183",2021-05-01,"CES0500000003",30.39,2024-12-13,2024-12-13
"184",2021-06-01,"CES0500000003",30.54,2024-12-13,2024-12-13
"185",2021-07-01,"CES0500000003",30.65,2024-12-13,2024-12-13
"186",2021-08-01,"CES0500000003",30.77,2024-12-13,2024-12-13
"187",2021-09-01,"CES0500000003",30.95,2024-12-13,2024-12-13
"188",2021-10-01,"CES0500000003",31.15,2024-12-13,2024-12-13
"189",2021-11-01,"CES0500000003",31.24,2024-12-13,2024-12-13
"190",2021-12-01,"CES0500000003",31.4,2024-12-13,2024-12-13
"191",2022-01-01,"CES0500000003",31.63,2024-12-13,2024-12-13
"192",2022-02-01,"CES0500000003",31.65,2024-12-13,2024-12-13
"193",2022-03-01,"CES0500000003",31.84,2024-12-13,2024-12-13
"194",2022-04-01,"CES0500000003",31.95,2024-12-13,2024-12-13
"195",2022-05-01,"CES0500000003",32.08,2024-12-13,2024-12-13
"196",2022-06-01,"CES0500000003",32.2,2024-12-13,2024-12-13
"197",2022-07-01,"CES0500000003",32.33,2024-12-13,2024-12-13
"198",2022-08-01,"CES0500000003",32.44,2024-12-13,2024-12-13
"199",2022-09-01,"CES0500000003",32.54,2024-12-13,2024-12-13
"200",2022-10-01,"CES0500000003",32.7,2024-12-13,2024-12-13
"201",2022-11-01,"CES0500000003",32.83,2024-12-13,2024-12-13
"202",2022-12-01,"CES0500000003",32.94,2024-12-13,2024-12-13
"203",2023-01-01,"CES0500000003",33.07,2024-12-13,2024-12-13
"204",2023-02-01,"CES0500000003",33.15,2024-12-13,2024-12-13
"205",2023-03-01,"CES0500000003",33.31,2024-12-13,2024-12-13
"206",2023-04-01,"CES0500000003",33.44,2024-12-13,2024-12-13
"207",2023-05-01,"CES0500000003",33.54,2024-12-13,2024-12-13
"208",2023-06-01,"CES0500000003",33.7,2024-12-13,2024-12-13
"209",2023-07-01,"CES0500000003",33.84,2024-12-13,2024-12-13
"210",2023-08-01,"CES0500000003",33.91,2024-12-13,2024-12-13
"211",2023-09-01,"CES0500000003",34.01,2024-12-13,2024-12-13
"212",2023-10-01,"CES0500000003",34.1,2024-12-13,2024-12-13
"213",2023-11-01,"CES0500000003",34.23,2024-12-13,2024-12-13
"214",2023-12-01,"CES0500000003",34.34,2024-12-13,2024-12-13
"215",2024-01-01,"CES0500000003",34.51,2024-12-13,2024-12-13
"216",2024-02-01,"CES0500000003",34.56,2024-12-13,2024-12-13
"217",2024-03-01,"CES0500000003",34.69,2024-12-13,2024-12-13
"218",2024-04-01,"CES0500000003",34.75,2024-12-13,2024-12-13
"219",2024-05-01,"CES0500000003",34.88,2024-12-13,2024-12-13
"220",2024-06-01,"CES0500000003",34.99,2024-12-13,2024-12-13
"221",2024-07-01,"CES0500000003",35.07,2024-12-13,2024-12-13
"222",2024-08-01,"CES0500000003",35.22,2024-12-13,2024-12-13
"223",2024-09-01,"CES0500000003",35.33,2024-12-13,2024-12-13
"224",2024-10-01,"CES0500000003",35.48,2024-12-13,2024-12-13
"225",2024-11-01,"CES0500000003",35.61,2024-12-13,2024-12-13
