"","date","series_id","value","realtime_start","realtime_end"
"91",2013-09-01,"CES6500000003",24.51,2024-12-13,2024-12-13
"92",2013-10-01,"CES6500000003",24.53,2024-12-13,2024-12-13
"93",2013-11-01,"CES6500000003",24.57,2024-12-13,2024-12-13
"94",2013-12-01,"CES6500000003",24.54,2024-12-13,2024-12-13
"95",2014-01-01,"CES6500000003",24.58,2024-12-13,2024-12-13
"96",2014-02-01,"CES6500000003",24.6,2024-12-13,2024-12-13
"97",2014-03-01,"CES6500000003",24.59,2024-12-13,2024-12-13
"98",2014-04-01,"CES6500000003",24.6,2024-12-13,2024-12-13
"99",2014-05-01,"CES6500000003",24.65,2024-12-13,2024-12-13
"100",2014-06-01,"CES6500000003",24.67,2024-12-13,2024-12-13
"101",2014-07-01,"CES6500000003",24.72,2024-12-13,2024-12-13
"102",2014-08-01,"CES6500000003",24.79,2024-12-13,2024-12-13
"103",2014-09-01,"CES6500000003",24.8,2024-12-13,2024-12-13
"104",2014-10-01,"CES6500000003",24.83,2024-12-13,2024-12-13
"105",2014-11-01,"CES6500000003",24.89,2024-12-13,2024-12-13
"106",2014-12-01,"CES6500000003",24.93,2024-12-13,2024-12-13
"107",2015-01-01,"CES6500000003",24.99,2024-12-13,2024-12-13
"108",2015-02-01,"CES6500000003",25.02,2024-12-13,2024-12-13
"109",2015-03-01,"CES6500000003",25.12,2024-12-13,2024-12-13
"110",2015-04-01,"CES6500000003",25.11,2024-12-13,2024-12-13
"111",2015-05-01,"CES6500000003",25.22,2024-12-13,2024-12-13
"112",2015-06-01,"CES6500000003",25.24,2024-12-13,2024-12-13
"113",2015-07-01,"CES6500000003",25.21,2024-12-13,2024-12-13
"114",2015-08-01,"CES6500000003",25.29,2024-12-13,2024-12-13
"115",2015-09-01,"CES6500000003",25.33,2024-12-13,2024-12-13
"116",2015-10-01,"CES6500000003",25.41,2024-12-13,2024-12-13
"117",2015-11-01,"CES6500000003",25.44,2024-12-13,2024-12-13
"118",2015-12-01,"CES6500000003",25.49,2024-12-13,2024-12-13
"119",2016-01-01,"CES6500000003",25.55,2024-12-13,2024-12-13
"120",2016-02-01,"CES6500000003",25.58,2024-12-13,2024-12-13
"121",2016-03-01,"CES6500000003",25.6,2024-12-13,2024-12-13
"122",2016-04-01,"CES6500000003",25.68,2024-12-13,2024-12-13
"123",2016-05-01,"CES6500000003",25.64,2024-12-13,2024-12-13
"124",2016-06-01,"CES6500000003",25.69,2024-12-13,2024-12-13
"125",2016-07-01,"CES6500000003",25.72,2024-12-13,2024-12-13
"126",2016-08-01,"CES6500000003",25.71,2024-12-13,2024-12-13
"127",2016-09-01,"CES6500000003",25.82,2024-12-13,2024-12-13
"128",2016-10-01,"CES6500000003",25.89,2024-12-13,2024-12-13
"129",2016-11-01,"CES6500000003",25.93,2024-12-13,2024-12-13
"130",2016-12-01,"CES6500000003",25.98,2024-12-13,2024-12-13
"131",2017-01-01,"CES6500000003",25.99,2024-12-13,2024-12-13
"132",2017-02-01,"CES6500000003",26.09,2024-12-13,2024-12-13
"133",2017-03-01,"CES6500000003",26.11,2024-12-13,2024-12-13
"134",2017-04-01,"CES6500000003",26.2,2024-12-13,2024-12-13
"135",2017-05-01,"CES6500000003",26.24,2024-12-13,2024-12-13
"136",2017-06-01,"CES6500000003",26.27,2024-12-13,2024-12-13
"137",2017-07-01,"CES6500000003",26.38,2024-12-13,2024-12-13
"138",2017-08-01,"CES6500000003",26.41,2024-12-13,2024-12-13
"139",2017-09-01,"CES6500000003",26.5,2024-12-13,2024-12-13
"140",2017-10-01,"CES6500000003",26.45,2024-12-13,2024-12-13
"141",2017-11-01,"CES6500000003",26.52,2024-12-13,2024-12-13
"142",2017-12-01,"CES6500000003",26.58,2024-12-13,2024-12-13
"143",2018-01-01,"CES6500000003",26.65,2024-12-13,2024-12-13
"144",2018-02-01,"CES6500000003",26.7,2024-12-13,2024-12-13
"145",2018-03-01,"CES6500000003",26.86,2024-12-13,2024-12-13
"146",2018-04-01,"CES6500000003",26.88,2024-12-13,2024-12-13
"147",2018-05-01,"CES6500000003",26.94,2024-12-13,2024-12-13
"148",2018-06-01,"CES6500000003",27.03,2024-12-13,2024-12-13
"149",2018-07-01,"CES6500000003",27.03,2024-12-13,2024-12-13
"150",2018-08-01,"CES6500000003",27.12,2024-12-13,2024-12-13
"151",2018-09-01,"CES6500000003",27.15,2024-12-13,2024-12-13
"152",2018-10-01,"CES6500000003",27.19,2024-12-13,2024-12-13
"153",2018-11-01,"CES6500000003",27.22,2024-12-13,2024-12-13
"154",2018-12-01,"CES6500000003",27.28,2024-12-13,2024-12-13
"155",2019-01-01,"CES6500000003",27.44,2024-12-13,2024-12-13
"156",2019-02-01,"CES6500000003",27.52,2024-12-13,2024-12-13
"157",2019-03-01,"CES6500000003",27.6,2024-12-13,2024-12-13
"158",2019-04-01,"CES6500000003",27.4,2024-12-13,2024-12-13
"159",2019-05-01,"CES6500000003",27.4,2024-12-13,2024-12-13
"160",2019-06-01,"CES6500000003",27.51,2024-12-13,2024-12-13
"161",2019-07-01,"CES6500000003",27.62,2024-12-13,2024-12-13
"162",2019-08-01,"CES6500000003",27.68,2024-12-13,2024-12-13
"163",2019-09-01,"CES6500000003",27.75,2024-12-13,2024-12-13
"164",2019-10-01,"CES6500000003",27.84,2024-12-13,2024-12-13
"165",2019-11-01,"CES6500000003",27.88,2024-12-13,2024-12-13
"166",2019-12-01,"CES6500000003",27.89,2024-12-13,2024-12-13
"167",2020-01-01,"CES6500000003",27.87,2024-12-13,2024-12-13
"168",2020-02-01,"CES6500000003",28,2024-12-13,2024-12-13
"169",2020-03-01,"CES6500000003",28.13,2024-12-13,2024-12-13
"170",2020-04-01,"CES6500000003",28.31,2024-12-13,2024-12-13
"171",2020-05-01,"CES6500000003",28.49,2024-12-13,2024-12-13
"172",2020-06-01,"CES6500000003",28.5,2024-12-13,2024-12-13
"173",2020-07-01,"CES6500000003",28.53,2024-12-13,2024-12-13
"174",2020-08-01,"CES6500000003",28.6,2024-12-13,2024-12-13
"175",2020-09-01,"CES6500000003",28.7,2024-12-13,2024-12-13
"176",2020-10-01,"CES6500000003",28.76,2024-12-13,2024-12-13
"177",2020-11-01,"CES6500000003",28.87,2024-12-13,2024-12-13
"178",2020-12-01,"CES6500000003",29.37,2024-12-13,2024-12-13
"179",2021-01-01,"CES6500000003",29.32,2024-12-13,2024-12-13
"180",2021-02-01,"CES6500000003",29.45,2024-12-13,2024-12-13
"181",2021-03-01,"CES6500000003",29.47,2024-12-13,2024-12-13
"182",2021-04-01,"CES6500000003",29.63,2024-12-13,2024-12-13
"183",2021-05-01,"CES6500000003",29.75,2024-12-13,2024-12-13
"184",2021-06-01,"CES6500000003",29.86,2024-12-13,2024-12-13
"185",2021-07-01,"CES6500000003",30.01,2024-12-13,2024-12-13
"186",2021-08-01,"CES6500000003",30.16,2024-12-13,2024-12-13
"187",2021-09-01,"CES6500000003",30.56,2024-12-13,2024-12-13
"188",2021-10-01,"CES6500000003",30.74,2024-12-13,2024-12-13
"189",2021-11-01,"CES6500000003",30.85,2024-12-13,2024-12-13
"190",2021-12-01,"CES6500000003",31.03,2024-12-13,2024-12-13
"191",2022-01-01,"CES6500000003",31.27,2024-12-13,2024-12-13
"192",2022-02-01,"CES6500000003",31.36,2024-12-13,2024-12-13
"193",2022-03-01,"CES6500000003",31.45,2024-12-13,2024-12-13
"194",2022-04-01,"CES6500000003",31.51,2024-12-13,2024-12-13
"195",2022-05-01,"CES6500000003",31.67,2024-12-13,2024-12-13
"196",2022-06-01,"CES6500000003",31.84,2024-12-13,2024-12-13
"197",2022-07-01,"CES6500000003",32.02,2024-12-13,2024-12-13
"198",2022-08-01,"CES6500000003",32.1,2024-12-13,2024-12-13
"199",2022-09-01,"CES6500000003",32.12,2024-12-13,2024-12-13
"200",2022-10-01,"CES6500000003",32.3,2024-12-13,2024-12-13
"201",2022-11-01,"CES6500000003",32.45,2024-12-13,2024-12-13
"202",2022-12-01,"CES6500000003",32.55,2024-12-13,2024-12-13
"203",2023-01-01,"CES6500000003",32.65,2024-12-13,2024-12-13
"204",2023-02-01,"CES6500000003",32.68,2024-12-13,2024-12-13
"205",2023-03-01,"CES6500000003",32.89,2024-12-13,2024-12-13
"206",2023-04-01,"CES6500000003",32.96,2024-12-13,2024-12-13
"207",2023-05-01,"CES6500000003",33.04,2024-12-13,2024-12-13
"208",2023-06-01,"CES6500000003",33.13,2024-12-13,2024-12-13
"209",2023-07-01,"CES6500000003",33.24,2024-12-13,2024-12-13
"210",2023-08-01,"CES6500000003",33.32,2024-12-13,2024-12-13
"211",2023-09-01,"CES6500000003",33.48,2024-12-13,2024-12-13
"212",2023-10-01,"CES6500000003",33.56,2024-12-13,2024-12-13
"213",2023-11-01,"CES6500000003",33.58,2024-12-13,2024-12-13
"214",2023-12-01,"CES6500000003",33.64,2024-12-13,2024-12-13
"215",2024-01-01,"CES6500000003",33.78,2024-12-13,2024-12-13
"216",2024-02-01,"CES6500000003",33.83,2024-12-13,2024-12-13
"217",2024-03-01,"CES6500000003",33.88,2024-12-13,2024-12-13
"218",2024-04-01,"CES6500000003",33.92,2024-12-13,2024-12-13
"219",2024-05-01,"CES6500000003",34.07,2024-12-13,2024-12-13
"220",2024-06-01,"CES6500000003",34.18,2024-12-13,2024-12-13
"221",2024-07-01,"CES6500000003",34.28,2024-12-13,2024-12-13
"222",2024-08-01,"CES6500000003",34.38,2024-12-13,2024-12-13
"223",2024-09-01,"CES6500000003",34.52,2024-12-13,2024-12-13
"224",2024-10-01,"CES6500000003",34.61,2024-12-13,2024-12-13
"225",2024-11-01,"CES6500000003",34.68,2024-12-13,2024-12-13
